iter	Passed	Remaining
1543	61343	18117
1544	61390	18079
1545	61434	18040
1546	61475	18001
1547	61519	17962
1548	61563	17924
1549	61600	17884
1550	61635	17842
1551	61675	17803
1552	61710	17762
1553	61749	17722
1554	61785	17681
1555	61820	17640
1556	61855	17599
1557	61893	17559
1558	61932	17519
1559	61990	17484
1560	62042	17448
1561	62085	17409
1562	62133	17372
1563	62177	17333
1564	62219	17294
1565	62260	17254
1566	62301	17215
1567	62344	17176
1568	62391	17138
1569	62436	17100
1570	62476	17060
1571	62516	17020
1572	62561	16982
1573	62607	16944
1574	62644	16904
1575	62685	16864
1576	62728	16825
1577	62773	16787
1578	62819	16749
1579	62864	16710
1580	62910	16672
1581	62953	16633
1582	62997	16595
1583	63041	16556
1584	63086	16517
1585	63130	16479
1586	63174	16440
1587	63220	16402
1588	63265	16363
1589	63309	16324
1590	63353	16286
1591	63399	16248
1592	63432	16206
1593	63468	16165
1594	63501	16124
1595	63530	16081
1596	63562	16039
1597	63597	15998
1598	63632	15957
1599	63669	15917
1600	63702	15875
1601	63741	15835
1602	63771	15793
1603	63803	15751
1604	63837	15710
1605	63872	15669
1606	63908	15629
1607	63942	15588
1608	63977	15547
1609	64014	15506
1610	64049	15465
1611	64081	15424
1612	64113	15382
1613	64151	15342
1614	64182	15300
1615	64213	15258
1616	64245	15216
1617	64278	15175
1618	64316	15135
1619	64347	15093
1620	64383	15053
1621	64435	15016
1622	64476	14977
1623	64516	14937
1624	64554	14897
1625	64593	14857
1626	64632	14817
1627	64668	14776
1628	64705	14736
1629	64742	14696
1630	64779	14655
1631	64824	14617
1632	64865	14577
1633	64903	14537
1634	64939	14497
1635	64969	14455
1636	65002	14414
1637	65032	14372
1638	65074	14332
1639	65119	14294
1640	65160	14255
1641	65201	14215
1642	65235	14174
1643	65269	14133
1644	65304	14093
1645	65340	14052
1646	65382	14013
1647	65412	13971
1648	65444	13930
1649	65479	13889
1650	65513	13848
1651	65552	13808
1652	65584	13767
1653	65629	13729
1654	65664	13688
1655	65695	13646
1656	65725	13605
1657	65756	13563
1658	65792	13523
1659	65830	13483
1660	65860	13441
